"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1162","[9] Э В, 23.01.2004, , true","","Thu Jan 23 12:18:19 GMT 2025","broken","Thu Jan 23 12:18:20 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1162","[8] Э В, 23.01.2008, 9999999999, true","","Thu Jan 23 12:18:17 GMT 2025","broken","Thu Jan 23 12:18:19 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1158","Проверка работы фильтра на странице 'Офисы и банкоматы'","","Thu Jan 23 12:18:23 GMT 2025","broken","Thu Jan 23 12:18:24 GMT 2025","","tests.Tests","tests.Tests","testFilterAllHoursWorking"
"","1161","Проверка выбора города","","Thu Jan 23 12:18:26 GMT 2025","broken","Thu Jan 23 12:18:27 GMT 2025","","tests.Tests","tests.Tests","testFilterCity"
"","1169","[3] 1 2, 23.01.2004, 9999999999, true","","Thu Jan 23 12:18:12 GMT 2025","broken","Thu Jan 23 12:18:13 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1159","[11] Э В, 23.01.2004, 999999, true","","Thu Jan 23 12:18:21 GMT 2025","broken","Thu Jan 23 12:18:22 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1179","[2] u t, 23.01.2004, 9999999999, true","","Thu Jan 23 12:18:10 GMT 2025","broken","Thu Jan 23 12:18:12 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1166","[5] Э В, , 9999999999, true","","Thu Jan 23 12:18:14 GMT 2025","broken","Thu Jan 23 12:18:15 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1163","[6] Э В, aaa, 9999999999, true","","Thu Jan 23 12:18:15 GMT 2025","broken","Thu Jan 23 12:18:16 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1166","[7] Э В, 13.01, 9999999999, true","","Thu Jan 23 12:18:16 GMT 2025","broken","Thu Jan 23 12:18:17 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1166","[10] Э В, 23.01.2004, ффф, true","","Thu Jan 23 12:18:20 GMT 2025","broken","Thu Jan 23 12:18:21 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1160","Проверка работы калькулятора рефинансирования кредитов","","Thu Jan 23 12:18:24 GMT 2025","broken","Thu Jan 23 12:18:26 GMT 2025","","tests.Tests","tests.Tests","testRefinanceCalculator"
"","1165","[4] Э , 23.01.2004, 9999999999, true","","Thu Jan 23 12:18:13 GMT 2025","broken","Thu Jan 23 12:18:14 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","11588","[1] , 23.01.2004, 9999999999, true","","Thu Jan 23 12:17:59 GMT 2025","broken","Thu Jan 23 12:18:10 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
"","1157","[12] Э В, 23.01.2004, 9999999999, false","","Thu Jan 23 12:18:22 GMT 2025","broken","Thu Jan 23 12:18:23 GMT 2025","","tests.Tests","tests.Tests","testRefinanceForm"
